user_id,signup_date,acquisition_channel,plan_type,is_paid,paid_conversion_date,days_to_paid,retained_30d,revenue_usd
U000043,2025-10-21,Direct,Free,0,,,0,0.0
U000044,2025-04-24,Paid Search,Free,0,,,0,0.0
U000045,2025-01-05,Paid Search,Free,0,,,0,0.0
U000046,2025-09-02,Organic Search,Pro,1,2025-09-05,3,1,77.53
U000047,2025-02-09,Organic Search,Free,0,,,0,0.0
U000048,2025-01-10,Organic Search,Free,0,,,0,0.0
U000049,2025-06-23,Referral,Free,0,,,0,0.0
U000050,2025-10-04,Email,Basic,1,2025-10-04,0,1,29.64
U000051,2025-04-23,Organic Search,Free,0,,,0,0.0
U000052,2025-08-11,Email,Free,0,,,0,0.0
U000053,2025-09-05,Organic Search,Free,0,,,0,0.0
U000054,2025-04-20,Email,Free,0,,,0,0.0
U000055,2025-02-27,Email,Free,0,,,0,0.0
U000056,2025-03-10,Social,Free,0,,,0,0.0
U000057,2025-05-21,Organic Search,Free,0,,,0,0.0
U000058,2025-10-02,Social,Free,0,,,0,0.0
U000059,2025-07-15,Email,Free,0,,,0,0.0
U000060,2025-04-11,Organic Search,Free,0,,,0,0.0
U000061,2025-08-18,Referral,Free,0,,,0,0.0
U000062,2025-05-07,Organic Search,Pro,1,2025-05-10,3,0,78.07
U000063,2025-10-11,Email,Free,0,,,0,0.0
U000064,2025-03-23,Email,Free,0,,,0,0.0
U000065,2025-09-08,Email,Free,0,,,0,0.0
U000066,2025-05-23,Referral,Pro,1,2025-05-25,2,0,61.46
U000067,2025-02-12,Paid Search,Free,0,,,0,0.0
U000068,2025-05-03,Email,Free,0,,,0,0.0
U000069,2025-04-27,Social,Free,0,,,0,0.0
U000070,2025-01-12,Paid Search,Free,0,,,0,0.0
U000071,2025-08-30,Paid Search,Free,0,,,0,0.0
U000072,2025-05-04,Social,Free,0,,,0,0.0
U000073,2025-09-30,Organic Search,Free,0,,,0,0.0
U000074,2025-06-04,Email,Free,0,,,0,0.0
U000075,2025-07-22,Organic Search,Free,0,,,0,0.0
U000076,2025-10-09,Direct,Free,0,,,0,0.0
U000077,2025-01-22,Paid Search,Free,0,,,0,0.0
U000078,2025-01-24,Organic Search,Free,0,,,0,0.0
U000079,2025-10-09,Direct,Free,0,,,0,0.0
U000080,2025-07-25,Organic Search,Free,0,,,0,0.0
U000081,2025-09-13,Direct,Free,0,,,0,0.0
U000082,2025-01-06,Direct,Free,0,,,0,0.0
U000083,2025-08-02,Organic Search,Basic,1,2025-08-03,1,0,28.1
U000084,2025-08-24,Organic Search,Free,0,,,0,0.0
U000085,2025-04-08,Organic Search,Free,0,,,0,0.0
U000086,2025-04-02,Organic Search,Free,0,,,0,0.0
U000087,2025-05-26,Social,Free,0,,,0,0.0
U000088,2025-06-03,Organic Search,Enterprise,1,2025-06-05,2,1,205.99
U000089,2025-09-18,Paid Search,Free,0,,,0,0.0
U000090,2025-07-09,Organic Search,Free,0,,,0,0.0
U000091,2025-03-20,Social,Free,0,,,0,0.0
U000092,2025-05-31,Email,Free,0,,,0,0.0
U000093,2025-05-03,Organic Search,Free,0,,,0,0.0
U000094,2025-01-09,Paid Search,Free,0,,,0,0.0
U000095,2025-02-20,Direct,Free,0,,,0,0.0
U000096,2025-08-21,Social,Free,0,,,0,0.0
U000097,2025-06-08,Referral,Enterprise,1,2025-06-09,1,1,230.29
U000098,2025-01-06,Organic Search,Free,0,,,0,0.0
U000099,2025-04-12,Direct,Free,0,,,0,0.0
U000100,2025-10-11,Organic Search,Pro,1,2025-10-14,3,0,73.66
U000101,2025-04-16,Direct,Free,0,,,0,0.0
U000102,2025-02-11,Organic Search,Free,0,,,0,0.0
U000103,2025-05-04,Organic Search,Free,0,,,0,0.0
U000104,2025-08-01,Referral,Pro,1,2025-08-09,8,1,58.63
U000105,2025-03-15,Organic Search,Free,0,,,0,0.0
U000106,2025-01-17,Paid Search,Basic,1,2025-01-20,3,1,29.32
U000107,2025-02-17,Organic Search,Free,0,,,0,0.0
U000108,2025-04-28,Social,Free,0,,,0,0.0
U000109,2025-02-14,Organic Search,Free,0,,,0,0.0
U000110,2025-02-06,Organic Search,Free,0,,,0,0.0
U000111,2025-01-09,Social,Free,0,,,0,0.0
U000112,2025-03-05,Referral,Free,0,,,0,0.0
U000113,2025-05-20,Referral,Free,0,,,0,0.0
U000114,2025-05-28,Organic Search,Free,0,,,0,0.0
U000115,2025-02-05,Email,Pro,1,2025-02-11,6,1,76.94
U000116,2025-09-26,Direct,Free,0,,,0,0.0
U000117,2025-01-17,Paid Search,Free,0,,,0,0.0
U000118,2025-05-08,Referral,Free,0,,,0,0.0
U000119,2025-05-06,Referral,Basic,1,2025-05-13,7,0,30.1
U000120,2025-03-29,Organic Search,Free,0,,,0,0.0
U000121,2025-01-31,Social,Free,0,,,0,0.0
U000122,2025-08-01,Referral,Basic,1,2025-08-02,1,1,28.56
U000123,2025-10-26,Direct,Free,0,,,0,0.0
U000124,2025-08-11,Direct,Free,0,,,0,0.0
U000125,2025-10-06,Paid Search,Free,0,,,0,0.0
U000126,2025-07-05,Email,Free,0,,,0,0.0
U000127,2025-09-22,Email,Free,0,,,0,0.0
U000128,2025-01-30,Direct,Free,0,,,0,0.0
U000129,2025-09-07,Paid Search,Free,0,,,0,0.0
U000130,2025-07-31,Social,Free,0,,,0,0.0
U000131,2025-08-01,Organic Search,Free,0,,,0,0.0
U000132,2025-03-23,Referral,Free,0,,,0,0.0
U000133,2025-02-28,Social,Free,0,,,0,0.0
U000134,2025-03-30,Social,Basic,1,2025-04-07,8,0,34.0
U000135,2025-09-20,Direct,Free,0,,,0,0.0
U000136,2025-09-19,Direct,Free,0,,,0,0.0
U000137,2025-09-02,Organic Search,Free,0,,,0,0.0
U000138,2025-07-04,Social,Free,0,,,0,0.0
U000139,2025-02-01,Organic Search,Free,0,,,0,0.0
U000140,2025-07-09,Organic Search,Free,0,,,0,0.0
U000141,2025-06-25,Organic Search,Free,0,,,0,0.0
U000142,2025-02-16,Email,Enterprise,1,2025-02-18,2,1,178.27
U000143,2025-05-31,Direct,Basic,1,2025-06-03,3,1,24.2
U000144,2025-02-23,Paid Search,Free,0,,,0,0.0
U000145,2025-03-11,Email,Free,0,,,0,0.0
U000146,2025-04-09,Organic Search,Free,0,,,0,0.0
U000147,2025-02-04,Email,Free,0,,,0,0.0
U000148,2025-06-05,Organic Search,Pro,1,2025-06-13,8,1,53.03
U000149,2025-06-10,Paid Search,Pro,1,2025-06-17,7,0,52.71
U000150,2025-05-09,Organic Search,Pro,1,2025-05-13,4,1,72.01
U000151,2025-09-23,Paid Search,Free,0,,,0,0.0
U000152,2025-05-20,Organic Search,Basic,1,2025-05-26,6,1,20.75
U000153,2025-04-04,Paid Search,Free,0,,,0,0.0
U000154,2025-10-17,Organic Search,Basic,1,2025-10-22,5,1,26.68
U000155,2025-10-26,Paid Search,Free,0,,,0,0.0
U000156,2025-06-27,Organic Search,Enterprise,1,2025-06-28,1,1,225.26
U000157,2025-09-24,Social,Free,0,,,0,0.0
U000158,2025-03-01,Organic Search,Free,0,,,0,0.0
U000159,2025-10-02,Paid Search,Pro,1,2025-10-05,3,1,76.58
U000160,2025-10-22,Social,Free,0,,,0,0.0
U000161,2025-05-07,Organic Search,Free,0,,,0,0.0
U000162,2025-06-04,Direct,Free,0,,,0,0.0
U000163,2025-07-23,Social,Free,0,,,0,0.0
U000164,2025-01-15,Organic Search,Free,0,,,0,0.0
U000165,2025-10-19,Organic Search,Free,0,,,0,0.0
U000166,2025-06-17,Referral,Pro,1,2025-06-22,5,1,77.37
U000167,2025-05-31,Organic Search,Free,0,,,0,0.0
U000168,2025-01-04,Organic Search,Free,0,,,0,0.0
U000169,2025-04-06,Social,Free,0,,,0,0.0
U000170,2025-09-14,Referral,Free,0,,,0,0.0
U000171,2025-04-15,Organic Search,Free,0,,,0,0.0
U000172,2025-02-10,Paid Search,Free,0,,,0,0.0
U000173,2025-10-22,Social,Free,0,,,0,0.0
U000174,2025-02-16,Referral,Free,0,,,0,0.0
U000175,2025-10-27,Email,Pro,1,2025-10-27,0,1,94.23
U000176,2025-08-31,Email,Free,0,,,0,0.0
U000177,2025-07-17,Email,Free,0,,,0,0.0
U000178,2025-07-06,Referral,Free,0,,,0,0.0
U000179,2025-05-21,Organic Search,Free,0,,,0,0.0
U000180,2025-10-07,Paid Search,Enterprise,1,2025-10-10,3,0,311.99
U000181,2025-02-20,Paid Search,Pro,1,2025-02-24,4,0,64.91
U000182,2025-07-22,Organic Search,Free,0,,,0,0.0
U000183,2025-08-02,Direct,Free,0,,,0,0.0
U000184,2025-07-01,Referral,Pro,1,2025-07-03,2,0,72.39
U000185,2025-01-21,Referral,Basic,1,2025-01-24,3,1,28.28
U000186,2025-04-20,Organic Search,Free,0,,,0,0.0
U000187,2025-02-26,Direct,Basic,1,2025-02-27,1,1,32.67
U000188,2025-10-20,Organic Search,Free,0,,,0,0.0
U000189,2025-02-08,Paid Search,Basic,1,2025-02-17,9,1,22.34
U000190,2025-03-03,Social,Enterprise,1,2025-03-06,3,1,220.13
U000191,2025-09-14,Direct,Free,0,,,0,0.0
U000192,2025-04-30,Email,Free,0,,,0,0.0
U000193,2025-05-03,Email,Basic,1,2025-05-07,4,0,23.66
U000194,2025-06-01,Organic Search,Free,0,,,0,0.0
U000195,2025-01-30,Paid Search,Free,0,,,0,0.0
U000196,2025-06-16,Direct,Free,0,,,0,0.0
U000197,2025-09-22,Direct,Basic,1,2025-09-28,6,0,25.77
U000198,2025-04-30,Paid Search,Free,0,,,0,0.0
U000199,2025-03-23,Paid Search,Free,0,,,0,0.0
U000200,2025-02-27,Email,Free,0,,,0,0.0
U000201,2025-07-26,Social,Free,0,,,0,0.0
U000202,2025-04-01,Email,Basic,1,2025-04-06,5,1,25.94
U000203,2025-06-18,Referral,Pro,1,2025-06-27,9,1,85.55
U000204,2025-02-13,Organic Search,Basic,1,2025-02-14,1,1,19.89
U000205,2025-05-20,Paid Search,Free,0,,,0,0.0
U000206,2025-10-24,Organic Search,Pro,1,2025-10-25,1,1,55.05
U000207,2025-09-16,Email,Free,0,,,0,0.0
U000208,2025-10-13,Paid Search,Free,0,,,0,0.0
U000209,2025-07-03,Organic Search,Free,0,,,0,0.0
U000210,2025-10-03,Paid Search,Free,0,,,0,0.0
U000211,2025-03-18,Organic Search,Free,0,,,0,0.0
U000212,2025-08-13,Referral,Free,0,,,0,0.0
U000213,2025-10-24,Organic Search,Free,0,,,0,0.0
U000214,2025-10-09,Email,Basic,1,2025-10-13,4,1,27.56
U000215,2025-07-01,Direct,Pro,1,2025-07-09,8,1,97.45
U000216,2025-09-23,Referral,Free,0,,,0,0.0
U000217,2025-04-11,Organic Search,Free,0,,,0,0.0
U000218,2025-05-20,Email,Free,0,,,0,0.0
U000219,2025-06-01,Referral,Enterprise,1,2025-06-03,2,1,270.31
U000220,2025-08-11,Paid Search,Free,0,,,0,0.0
U000221,2025-06-04,Organic Search,Free,0,,,0,0.0
U000222,2025-05-23,Paid Search,Basic,1,2025-05-27,4,1,31.46
U000223,2025-10-21,Email,Free,0,,,0,0.0
U000224,2025-01-22,Organic Search,Free,0,,,0,0.0
U000225,2025-07-06,Email,Basic,1,2025-07-07,1,0,27.67
U000226,2025-07-08,Paid Search,Free,0,,,0,0.0
U000227,2025-01-04,Email,Free,0,,,0,0.0
U000228,2025-10-27,Paid Search,Free,0,,,0,0.0
U000229,2025-07-02,Organic Search,Basic,1,2025-07-05,3,1,29.39
U000230,2025-06-18,Organic Search,Free,0,,,0,0.0
U000231,2025-05-27,Social,Basic,1,2025-06-01,5,0,28.8
U000232,2025-02-21,Social,Free,0,,,0,0.0
U000233,2025-01-14,Organic Search,Free,0,,,0,0.0
U000234,2025-08-05,Paid Search,Free,0,,,0,0.0
U000235,2025-05-18,Referral,Free,0,,,0,0.0
U000236,2025-09-12,Social,Basic,1,2025-09-21,9,1,29.96
U000237,2025-10-18,Referral,Basic,1,2025-10-20,2,1,22.44
U000238,2025-01-28,Paid Search,Basic,1,2025-02-01,4,1,30.93
U000239,2025-03-01,Organic Search,Free,0,,,0,0.0
U000240,2025-07-07,Email,Free,0,,,0,0.0
U000241,2025-10-02,Email,Free,0,,,0,0.0
U000242,2025-08-17,Social,Free,0,,,0,0.0
U000243,2025-03-12,Referral,Basic,1,2025-03-22,10,1,34.69
U000244,2025-06-02,Referral,Free,0,,,0,0.0
U000245,2025-01-04,Paid Search,Free,0,,,0,0.0
U000246,2025-07-02,Referral,Pro,1,2025-07-05,3,0,66.98
U000247,2025-02-13,Referral,Free,0,,,0,0.0
U000248,2025-08-14,Email,Free,0,,,0,0.0
U000249,2025-06-10,Paid Search,Free,0,,,0,0.0
U000250,2025-08-28,Organic Search,Free,0,,,0,0.0
U000251,2025-07-30,Paid Search,Free,0,,,0,0.0
U000252,2025-03-05,Referral,Free,0,,,0,0.0
U000253,2025-04-24,Social,Free,0,,,0,0.0
U000254,2025-06-26,Paid Search,Free,0,,,0,0.0
U000255,2025-06-04,Email,Free,0,,,0,0.0
U000256,2025-01-16,Organic Search,Free,0,,,0,0.0
U000257,2025-04-18,Organic Search,Free,0,,,0,0.0
U000258,2025-07-21,Direct,Free,0,,,0,0.0
U000259,2025-08-07,Direct,Free,0,,,0,0.0
U000260,2025-03-22,Organic Search,Enterprise,1,2025-03-27,5,0,164.3
U000261,2025-06-09,Paid Search,Free,0,,,0,0.0
U000262,2025-01-19,Referral,Basic,1,2025-01-23,4,1,22.47
U000263,2025-03-02,Email,Free,0,,,0,0.0
U000264,2025-07-08,Organic Search,Free,0,,,0,0.0
U000265,2025-09-03,Organic Search,Free,0,,,0,0.0
U000266,2025-09-28,Social,Free,0,,,0,0.0
U000267,2025-05-02,Organic Search,Free,0,,,0,0.0
U000268,2025-09-15,Organic Search,Free,0,,,0,0.0
U000269,2025-10-27,Organic Search,Free,0,,,0,0.0
U000270,2025-08-03,Email,Free,0,,,0,0.0
U000271,2025-04-22,Direct,Pro,1,2025-04-23,1,0,54.73
U000272,2025-04-14,Email,Basic,1,2025-04-18,4,0,34.22
U000273,2025-08-23,Direct,Free,0,,,0,0.0
U000274,2025-08-02,Email,Free,0,,,0,0.0
U000275,2025-03-22,Social,Free,0,,,0,0.0
U000276,2025-08-05,Email,Pro,1,2025-08-11,6,1,66.52
U000277,2025-05-09,Organic Search,Free,0,,,0,0.0
U000278,2025-04-20,Email,Free,0,,,0,0.0
U000279,2025-07-20,Paid Search,Free,0,,,0,0.0
U000280,2025-06-28,Email,Free,0,,,0,0.0
U000281,2025-01-23,Organic Search,Free,0,,,0,0.0
U000282,2025-08-04,Referral,Free,0,,,0,0.0
U000283,2025-01-02,Paid Search,Free,0,,,0,0.0
U000284,2025-02-25,Direct,Free,0,,,0,0.0
U000285,2025-03-04,Organic Search,Free,0,,,0,0.0
U000286,2025-01-27,Organic Search,Pro,1,2025-01-29,2,1,60.77
U000287,2025-09-04,Paid Search,Free,0,,,0,0.0
U000288,2025-06-28,Organic Search,Free,0,,,0,0.0
U000289,2025-06-18,Referral,Basic,1,2025-06-20,2,0,30.85
U000290,2025-06-15,Organic Search,Free,0,,,0,0.0
U000291,2025-06-26,Paid Search,Free,0,,,0,0.0
U000292,2025-10-01,Social,Free,0,,,0,0.0
U000293,2025-06-25,Organic Search,Free,0,,,0,0.0
U000294,2025-09-05,Social,Free,0,,,0,0.0
U000295,2025-06-26,Email,Free,0,,,0,0.0
U000296,2025-08-30,Email,Enterprise,1,2025-09-03,4,1,205.92
U000297,2025-03-11,Organic Search,Free,0,,,0,0.0
U000298,2025-04-16,Referral,Free,0,,,0,0.0
U000299,2025-05-28,Social,Free,0,,,0,0.0
U000300,2025-05-14,Social,Free,0,,,0,0.0
U000301,2025-04-01,Direct,Free,0,,,0,0.0
U000302,2025-08-26,Direct,Free,0,,,0,0.0
U000303,2025-03-13,Paid Search,Free,0,,,0,0.0
U000304,2025-03-26,Paid Search,Free,0,,,0,0.0
U000305,2025-04-21,Referral,Basic,1,2025-04-24,3,0,35.76
U000306,2025-04-20,Paid Search,Pro,1,2025-04-27,7,1,75.3
U000307,2025-05-23,Organic Search,Pro,1,2025-05-25,2,1,90.42
U000308,2025-07-20,Social,Free,0,,,0,0.0
U000309,2025-03-08,Organic Search,Free,0,,,0,0.0
U000310,2025-10-11,Organic Search,Free,0,,,0,0.0
U000311,2025-01-26,Organic Search,Pro,1,2025-01-28,2,1,85.22
U000312,2025-07-29,Paid Search,Free,0,,,0,0.0
U000313,2025-01-09,Referral,Free,0,,,0,0.0
U000314,2025-09-24,Referral,Pro,1,2025-09-26,2,1,84.97
U000315,2025-04-06,Organic Search,Basic,1,2025-04-16,10,0,28.2
U000316,2025-01-30,Referral,Free,0,,,0,0.0
U000317,2025-04-08,Email,Free,0,,,0,0.0
U000318,2025-01-25,Paid Search,Pro,1,2025-01-26,1,1,83.08
U000319,2025-03-14,Organic Search,Basic,1,2025-03-17,3,0,27.86
U000320,2025-07-05,Social,Free,0,,,0,0.0
U000321,2025-04-08,Email,Free,0,,,0,0.0
U000322,2025-09-22,Paid Search,Free,0,,,0,0.0
U000323,2025-03-22,Email,Basic,1,2025-03-24,2,0,26.88
U000324,2025-08-14,Organic Search,Free,0,,,0,0.0
U000325,2025-06-13,Organic Search,Free,0,,,0,0.0
U000326,2025-02-05,Email,Pro,1,2025-02-09,4,0,57.03
U000327,2025-03-13,Email,Basic,1,2025-03-16,3,1,33.43
U000328,2025-10-14,Paid Search,Free,0,,,0,0.0
U000329,2025-09-09,Organic Search,Free,0,,,0,0.0
U000330,2025-09-07,Organic Search,Basic,1,2025-09-09,2,1,29.51
U000331,2025-08-25,Email,Free,0,,,0,0.0
U000332,2025-01-19,Paid Search,Basic,1,2025-01-22,3,0,31.05
U000333,2025-04-06,Referral,Basic,1,2025-04-09,3,0,31.76
U000334,2025-05-22,Paid Search,Free,0,,,0,0.0
U000335,2025-07-28,Social,Enterprise,1,2025-08-04,7,1,208.83
U000336,2025-10-23,Paid Search,Pro,1,2025-10-28,5,1,74.44
U000337,2025-08-21,Paid Search,Free,0,,,0,0.0
U000338,2025-05-09,Organic Search,Free,0,,,0,0.0
U000339,2025-10-02,Referral,Enterprise,1,2025-10-04,2,1,214.06
U000340,2025-07-30,Email,Free,0,,,0,0.0
U000341,2025-04-16,Paid Search,Free,0,,,0,0.0
U000342,2025-05-20,Organic Search,Free,0,,,0,0.0
U000343,2025-01-26,Direct,Free,0,,,0,0.0
U000344,2025-01-08,Paid Search,Free,0,,,0,0.0
U000345,2025-04-26,Paid Search,Free,0,,,0,0.0
U000346,2025-08-29,Direct,Free,0,,,0,0.0
U000347,2025-03-19,Email,Free,0,,,0,0.0
U000348,2025-08-22,Organic Search,Free,0,,,0,0.0
U000349,2025-01-16,Email,Basic,1,2025-01-22,6,0,35.48
U000350,2025-06-04,Paid Search,Free,0,,,0,0.0
U000351,2025-02-15,Paid Search,Free,0,,,0,0.0
U000352,2025-02-06,Email,Free,0,,,0,0.0
U000353,2025-08-02,Email,Free,0,,,0,0.0
U000354,2025-03-01,Email,Free,0,,,0,0.0
U000355,2025-02-27,Email,Free,0,,,0,0.0
U000356,2025-04-20,Organic Search,Pro,1,2025-04-22,2,0,58.08
U000357,2025-02-10,Referral,Free,0,,,0,0.0
U000358,2025-09-30,Organic Search,Free,0,,,0,0.0
U000359,2025-10-10,Email,Pro,1,2025-10-18,8,1,78.59
U000360,2025-08-17,Email,Free,0,,,0,0.0
U000361,2025-04-29,Organic Search,Free,0,,,0,0.0
U000362,2025-07-09,Email,Pro,1,2025-07-12,3,1,83.41
U000363,2025-02-13,Referral,Free,0,,,0,0.0
U000364,2025-06-24,Organic Search,Free,0,,,0,0.0
U000365,2025-07-03,Organic Search,Free,0,,,0,0.0
U000366,2025-05-25,Paid Search,Free,0,,,0,0.0
U000367,2025-03-05,Referral,Basic,1,2025-03-17,12,1,26.97
U000368,2025-02-17,Email,Free,0,,,0,0.0
U000369,2025-07-10,Social,Free,0,,,0,0.0
U000370,2025-01-20,Referral,Pro,1,2025-01-26,6,1,54.59
U000371,2025-03-25,Organic Search,Free,0,,,0,0.0
U000372,2025-04-08,Referral,Enterprise,1,2025-04-11,3,0,218.07
U000373,2025-08-11,Social,Basic,1,2025-08-15,4,0,26.7
U000374,2025-06-22,Email,Free,0,,,0,0.0
U000375,2025-06-26,Referral,Pro,1,2025-06-29,3,1,44.09
U000376,2025-05-28,Organic Search,Free,0,,,0,0.0
U000377,2025-05-12,Paid Search,Free,0,,,0,0.0
U000378,2025-03-27,Email,Enterprise,1,2025-04-02,6,0,265.54
U000379,2025-05-28,Social,Free,0,,,0,0.0
U000380,2025-08-15,Email,Free,0,,,0,0.0
U000381,2025-05-14,Social,Free,0,,,0,0.0
U000382,2025-10-22,Referral,Free,0,,,0,0.0
U000383,2025-09-13,Organic Search,Free,0,,,0,0.0
U000384,2025-06-16,Paid Search,Basic,1,2025-06-21,5,0,29.09
U000385,2025-08-03,Organic Search,Free,0,,,0,0.0
U000386,2025-09-07,Direct,Free,0,,,0,0.0
U000387,2025-01-25,Email,Basic,1,2025-01-28,3,0,31.09
U000388,2025-10-05,Paid Search,Pro,1,2025-10-11,6,1,54.46
U000389,2025-06-30,Social,Basic,1,2025-07-06,6,0,23.07
U000390,2025-08-18,Social,Free,0,,,0,0.0
U000391,2025-07-19,Direct,Free,0,,,0,0.0
U000392,2025-06-17,Direct,Free,0,,,0,0.0
U000393,2025-07-05,Direct,Free,0,,,0,0.0
U000394,2025-08-23,Paid Search,Basic,1,2025-08-27,4,0,25.48
U000395,2025-09-07,Organic Search,Basic,1,2025-09-18,11,0,33.32
U000396,2025-04-11,Direct,Enterprise,1,2025-04-12,1,0,193.42
U000397,2025-10-11,Direct,Free,0,,,0,0.0
U000398,2025-10-11,Email,Free,0,,,0,0.0
U000399,2025-02-20,Organic Search,Free,0,,,0,0.0
U000400,2025-01-02,Referral,Free,0,,,0,0.0
U000401,2025-09-05,Email,Free,0,,,0,0.0
U000402,2025-03-20,Social,Free,0,,,0,0.0
U000403,2025-07-17,Organic Search,Free,0,,,0,0.0
U000404,2025-04-27,Referral,Free,0,,,0,0.0
U000405,2025-07-02,Email,Free,0,,,0,0.0
U000406,2025-06-03,Social,Free,0,,,0,0.0
U000407,2025-03-15,Organic Search,Pro,1,2025-03-18,3,1,75.72
U000408,2025-08-17,Email,Basic,1,2025-08-18,1,1,30.86
U000409,2025-01-22,Social,Free,0,,,0,0.0
U000410,2025-01-27,Email,Free,0,,,0,0.0
U000411,2025-04-27,Referral,Free,0,,,0,0.0
U000412,2025-04-23,Referral,Basic,1,2025-04-28,5,1,37.08
U000413,2025-02-24,Email,Free,0,,,0,0.0
U000414,2025-09-23,Organic Search,Free,0,,,0,0.0
U000415,2025-10-03,Referral,Free,0,,,0,0.0
U000416,2025-04-05,Direct,Free,0,,,0,0.0
U000417,2025-09-20,Social,Free,0,,,0,0.0
U000418,2025-08-08,Email,Free,0,,,0,0.0
U000419,2025-05-20,Social,Free,0,,,0,0.0
U000420,2025-05-06,Organic Search,Free,0,,,0,0.0
U000421,2025-10-09,Email,Free,0,,,0,0.0
U000422,2025-03-15,Paid Search,Pro,1,2025-03-17,2,1,57.98
U000423,2025-05-18,Organic Search,Free,0,,,0,0.0
U000424,2025-06-29,Social,Basic,1,2025-07-03,4,0,33.74
U000425,2025-02-24,Paid Search,Free,0,,,0,0.0
U000426,2025-02-23,Email,Basic,1,2025-02-23,0,1,31.53
U000427,2025-10-10,Referral,Basic,1,2025-10-22,12,0,22.51
U000428,2025-10-24,Social,Basic,1,2025-10-28,4,0,29.38
U000429,2025-02-03,Paid Search,Pro,1,2025-02-03,0,1,80.03
U000430,2025-09-22,Organic Search,Free,0,,,0,0.0
U000431,2025-08-21,Paid Search,Free,0,,,0,0.0
U000432,2025-09-01,Organic Search,Free,0,,,0,0.0
U000433,2025-03-24,Referral,Pro,1,2025-04-05,12,1,76.9
U000434,2025-07-04,Organic Search,Free,0,,,0,0.0
U000435,2025-10-27,Referral,Pro,1,2025-10-29,2,1,80.18
U000436,2025-10-01,Social,Free,0,,,0,0.0
U000437,2025-07-07,Referral,Free,0,,,0,0.0
U000438,2025-03-28,Organic Search,Free,0,,,0,0.0
U000439,2025-09-29,Social,Free,0,,,0,0.0
U000440,2025-03-13,Paid Search,Free,0,,,0,0.0
U000441,2025-05-30,Referral,Pro,1,2025-06-09,10,1,85.95
U000442,2025-03-01,Email,Enterprise,1,2025-03-08,7,0,241.02
U000443,2025-05-06,Organic Search,Free,0,,,0,0.0
U000444,2025-06-07,Direct,Free,0,,,0,0.0
U000445,2025-09-18,Organic Search,Pro,1,2025-09-26,8,0,100.2
U000446,2025-05-02,Paid Search,Free,0,,,0,0.0
U000447,2025-07-25,Organic Search,Free,0,,,0,0.0
U000448,2025-05-11,Organic Search,Free,0,,,0,0.0
U000449,2025-04-10,Direct,Basic,1,2025-04-11,1,1,27.11
